epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2673,0.28234,0.23156,0.83909,0.66801,0.68743,0.69025,0.52542,0.99367,1.19663,1.37706,0.000492625,0.000492625,0.000492625
43,2736.67,0.27815,0.227,0.83634,0.67215,0.682,0.69563,0.5292,0.98697,1.18875,1.3756,0.00048025,0.00048025,0.00048025
44,2800.23,0.27441,0.22404,0.83406,0.67447,0.67566,0.69109,0.52488,0.98541,1.20244,1.37265,0.000467875,0.000467875,0.000467875
45,2864.11,0.27219,0.22267,0.8334,0.68624,0.67239,0.69463,0.5287,0.98726,1.20218,1.3737,0.0004555,0.0004555,0.0004555
46,2927.21,0.26989,0.2228,0.833,0.66864,0.6915,0.69711,0.5284,0.98537,1.20555,1.37777,0.000443125,0.000443125,0.000443125
47,2991.49,0.26666,0.21925,0.83151,0.6567,0.69801,0.69537,0.52873,0.98908,1.2061,1.38101,0.00043075,0.00043075,0.00043075
48,3054.1,0.26281,0.21734,0.83038,0.70362,0.65479,0.69433,0.52784,0.9902,1.21252,1.38405,0.000418375,0.000418375,0.000418375
49,3119.72,0.2613,0.2163,0.8286,0.64207,0.71877,0.69209,0.52627,0.9833,1.22483,1.38109,0.000406,0.000406,0.000406
50,3182.29,0.25623,0.21221,0.82688,0.68187,0.67074,0.69261,0.5263,0.98464,1.21742,1.38555,0.000393625,0.000393625,0.000393625
51,3246.42,0.25339,0.21026,0.82529,0.65851,0.69213,0.69211,0.52776,0.9826,1.22979,1.38468,0.00038125,0.00038125,0.00038125
52,3310.32,0.25088,0.20862,0.82448,0.6788,0.68534,0.69074,0.52722,0.98199,1.22708,1.38137,0.000368875,0.000368875,0.000368875
53,3372.85,0.25017,0.20987,0.82353,0.65231,0.70986,0.69323,0.52742,0.9834,1.21982,1.38653,0.0003565,0.0003565,0.0003565
54,3437.57,0.24703,0.20687,0.82344,0.67255,0.68597,0.694,0.52832,0.97995,1.2256,1.38431,0.000344125,0.000344125,0.000344125
55,3501.05,0.24404,0.20463,0.82203,0.69333,0.66618,0.69337,0.52738,0.97996,1.22756,1.38267,0.00033175,0.00033175,0.00033175
